case,frame_file,full_file_path,groundtruth,gpt_response,original_response,timestamp
extraction_results.csv,row24_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row24_needle_driver.png,needle driver,"Mega SutureCut Needle Driver, Cadier Forceps, Tip-Up Fenestrated Grasper","{
  ""instruments"": [
    ""Mega SutureCut Needle Driver"",
    ""Cadier Forceps"",
    ""Tip-Up Fenestrated Grasper""
  ]
}",2025-04-05 10:08:00
extraction_results.csv,row25_monopolar_curved_scissors.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row25_monopolar_curved_scissors.png,monopolar curved scissors,"Monopolar Curved Scissors, Cadiere Forceps","{
  ""instruments"": [
    ""Monopolar Curved Scissors"",
    ""Cadiere Forceps""
  ]
}",2025-04-05 10:08:09
extraction_results.csv,row26_force_bipolar.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row26_force_bipolar.png,force bipolar,,"{
  ""instruments"": []
}",2025-04-05 10:08:18
extraction_results.csv,row27_force_bipolar.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row27_force_bipolar.png,force bipolar,"Force Bipolar, Cadiere Forceps","{
  ""instruments"": [
    ""Force Bipolar"",
    ""Cadiere Forceps""
  ]
}",2025-04-05 10:08:28
extraction_results.csv,row28_stapler.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row28_stapler.png,stapler,,"{
  ""instruments"": []
}",2025-04-05 10:08:36
extraction_results.csv,row29_stapler.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row29_stapler.png,stapler,,"{
  ""instruments"": []
}",2025-04-05 10:08:45
extraction_results.csv,row30_stapler.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row30_stapler.png,stapler,,"{
  ""instruments"": []
}",2025-04-05 10:12:24
extraction_results.csv,row31_stapler.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row31_stapler.png,stapler,,"{
  ""instruments"": []
}",2025-04-05 10:17:11
extraction_results.csv,row32_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row32_needle_driver.png,needle driver,Mega SutureCut Needle Driver,"{
  ""instruments"": [
    ""Mega SutureCut Needle Driver""
  ]
}",2025-04-05 10:18:03
extraction_results.csv,row33_tip-up_fenestrated_grasper.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row33_tip-up_fenestrated_grasper.png,tip-up fenestrated grasper,Mega SutureCut Needle Driver,"{
  ""instruments"": [""Mega SutureCut Needle Driver""]
}",2025-04-05 10:18:11
extraction_results.csv,row34_tip-up_fenestrated_grasper.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row34_tip-up_fenestrated_grasper.png,tip-up fenestrated grasper,"Mega SutureCut Needle Driver, Cadier Forceps, Tip-Up Fenestrated Grasper","{
  ""instruments"": [
    ""Mega SutureCut Needle Driver"",
    ""Cadier Forceps"",
    ""Tip-Up Fenestrated Grasper""
  ]
}",2025-04-05 10:18:24
extraction_results.csv,row42_permanent_cautery_hook_spatula.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row42_permanent_cautery_hook_spatula.png,permanent cautery hook/spatula,"ProGrasp Forceps, Maryland Bipolar Forceps, Permanent Cautery Hook","{
  ""instruments"": [
    ""ProGrasp Forceps"",
    ""Maryland Bipolar Forceps"",
    ""Permanent Cautery Hook""
  ]
}",2025-04-05 10:18:33
extraction_results.csv,row45_nancamera_in.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row45_nancamera_in.png,nan(camera in),"ProGrasp Forceps, Maryland Bipolar Forceps, Permanent Cautery Hook","{
  ""instruments"": [
    ""ProGrasp Forceps"",
    ""Maryland Bipolar Forceps"",
    ""Permanent Cautery Hook""
  ]
}",2025-04-05 10:18:41
extraction_results.csv,row46_nancamera_in.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row46_nancamera_in.png,nan(camera in),Error parsing JSON response,"I'm sorry, I can't identify the tool name from this image.",2025-04-05 10:18:49
extraction_results.csv,row47_clip_applier.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row47_clip_applier.png,clip applier ,,"{
  ""instruments"": []
}",2025-04-05 10:18:58
extraction_results.csv,row48_clip_applier.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row48_clip_applier.png,clip applier ,"Maryland Bipolar Forceps, Large Clip Applier","{
  ""instruments"": [
    ""Maryland Bipolar Forceps"",
    ""Large Clip Applier""
  ]
}",2025-04-05 10:19:08
extraction_results.csv,row49_clip_applier.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row49_clip_applier.png,clip applier ,Maryland Bipolar Forceps,"{
  ""instruments"": [
    ""Maryland Bipolar Forceps""
  ]
}",2025-04-05 10:19:17
extraction_results.csv,row50_permanent_cautery_hook_spatula.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row50_permanent_cautery_hook_spatula.png,permanent cautery hook/spatula,Maryland Bipolar Forceps,"{
  ""instruments"": [
    ""Maryland Bipolar Forceps""
  ]
}",2025-04-05 10:19:26
extraction_results.csv,row51_clip_applier.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row51_clip_applier.png,clip applier ,Large Clip Applier,"{
  ""instruments"": [
    ""Large Clip Applier""
  ]
}",2025-04-05 10:19:35
extraction_results.csv,row52_clip_applier.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row52_clip_applier.png,clip applier ,Large Clip Applier,"{
  ""instruments"": [""Large Clip Applier""]
}",2025-04-05 10:19:42
extraction_results.csv,row53_permanent_cautery_hook_spatula.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row53_permanent_cautery_hook_spatula.png,permanent cautery hook/spatula,Error parsing JSON response,"I'm sorry, I can't assist with identifying people or tools in images.",2025-04-05 10:19:52
extraction_results.csv,row0_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row0_needle_driver.png,needle driver,,"{
  ""instruments"": []
}",2025-04-05 10:20:00
extraction_results.csv,row1_prograsp_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row1_prograsp_forceps.png,prograsp forceps,"Mega SutureCut Needle Driver, Mega Needle Driver, ProGrasp Forceps","{
  ""instruments"": [
    ""Mega SutureCut Needle Driver"",
    ""Mega Needle Driver"",
    ""ProGrasp Forceps""
  ]
}",2025-04-05 10:20:09
extraction_results.csv,row2_prograsp_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row2_prograsp_forceps.png,prograsp forceps,"Mega SutureCut Needle Driver, Mega Needle Driver, ProGrasp Forceps","{
  ""instruments"": [
    ""Mega SutureCut Needle Driver"",
    ""Mega Needle Driver"",
    ""ProGrasp Forceps""
  ]
}",2025-04-05 10:20:17
extraction_results.csv,row3_prograsp_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row3_prograsp_forceps.png,prograsp forceps,Mega SutureCut Needle Driver,"{
  ""instruments"": [
    ""Mega SutureCut Needle Driver""
  ]
}",2025-04-05 10:20:26
extraction_results.csv,row4_prograsp_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row4_prograsp_forceps.png,prograsp forceps,,"{
  ""instruments"": []
}",2025-04-05 10:20:34
extraction_results.csv,row6_prograsp_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row6_prograsp_forceps.png,prograsp forceps,"Large Needle Driver, ProGrasp Forceps","{
  ""instruments"": [""Large Needle Driver"", ""ProGrasp Forceps""]
}",2025-04-05 10:20:44
extraction_results.csv,row7_prograsp_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row7_prograsp_forceps.png,prograsp forceps,,"{
  ""instruments"": []
}",2025-04-05 10:20:52
extraction_results.csv,row8_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row8_needle_driver.png,needle driver,,"{
  ""instruments"": []
}",2025-04-05 10:25:50
extraction_results.csv,row9_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row9_needle_driver.png,needle driver,"Large Needle Driver, ProGrasp Forceps","{
  ""instruments"": [
    ""Large Needle Driver"",
    ""ProGrasp Forceps""
  ]
}",2025-04-05 10:26:05
extraction_results.csv,row10_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row10_needle_driver.png,needle driver,,"{
  ""instruments"": []
}",2025-04-05 11:00:14
extraction_results.csv,row11_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row11_needle_driver.png,needle driver,"Large Needle Driver, Large SutureCut Needle Driver, ProGrasp Forceps","```json
{
  ""instruments"": [
    ""Large Needle Driver"",
    ""Large SutureCut Needle Driver"",
    ""ProGrasp Forceps""
  ]
}
```",2025-04-05 11:00:24
extraction_results.csv,row12_cadiere_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row12_cadiere_forceps.png,cadiere forceps,,"{
  ""instruments"": []
}",2025-04-05 11:00:32
extraction_results.csv,row13_monopolar_curved_scissors.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row13_monopolar_curved_scissors.png,monopolar curved scissors,"Large Needle Driver, Monopolar Curved Scissors, Cadiere Forceps","{
  ""instruments"": [
    ""Large Needle Driver"",
    ""Monopolar Curved Scissors"",
    ""Cadiere Forceps""
  ]
}",2025-04-05 11:00:41
extraction_results.csv,row14_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row14_needle_driver.png,needle driver,"Large Needle Driver, Large SutureCut Needle Driver","```json
{
  ""instruments"": [
    ""Large Needle Driver"",
    ""Large SutureCut Needle Driver""
  ]
}
```",2025-04-05 11:00:51
extraction_results.csv,row15_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row15_needle_driver.png,needle driver,"Large Needle Driver, Large SutureCut Needle Driver, Cadiere Forceps","{
  ""instruments"": [
    ""Large Needle Driver"",
    ""Large SutureCut Needle Driver"",
    ""Cadiere Forceps""
  ]
}",2025-04-05 11:01:00
extraction_results.csv,row16_monopolar_curved_scissors.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row16_monopolar_curved_scissors.png,monopolar curved scissors,,"{
  ""instruments"": []
}",2025-04-05 11:01:11
extraction_results.csv,row17_bipolar_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row17_bipolar_forceps.png,bipolar forceps,"Fenestrated Bipolar Forceps, Cadiere Forceps","```json
{
  ""instruments"": [
    ""Fenestrated Bipolar Forceps"",
    ""Cadiere Forceps""
  ]
}
```",2025-04-05 11:01:20
extraction_results.csv,row18_bipolar_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row18_bipolar_forceps.png,bipolar forceps,"Fenestrated Bipolar Forceps, Cadiere Forceps","```json
{
  ""instruments"": [
    ""Fenestrated Bipolar Forceps"",
    ""Cadiere Forceps""
  ]
}
```",2025-04-05 11:01:30
extraction_results.csv,row19_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row19_needle_driver.png,needle driver,,"{
  ""instruments"": []
}",2025-04-05 11:01:39
extraction_results.csv,row20_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row20_needle_driver.png,needle driver,"Large Needle Driver, Cadiere Forceps","{
  ""instruments"": [""Large Needle Driver"", ""Cadiere Forceps""]
}",2025-04-05 11:01:49
extraction_results.csv,row21_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row21_needle_driver.png,needle driver,"Large Needle Driver, Large Suture Cut Needle Driver","```json
{
  ""instruments"": [
    ""Large Needle Driver"",
    ""Large Suture Cut Needle Driver""
  ]
}
```",2025-04-05 11:02:00
extraction_results.csv,row22_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row22_needle_driver.png,needle driver,"Large Needle Driver, Large Suture Cut Needle Driver","```json
{
  ""instruments"": [
    ""Large Needle Driver"",
    ""Large Suture Cut Needle Driver""
  ]
}
```",2025-04-05 11:02:09
extraction_results.csv,row23_bipolar_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row23_bipolar_forceps.png,bipolar forceps,Maryland Bipolar Forceps,"{
  ""instruments"": [""Maryland Bipolar Forceps""]
}",2025-04-05 11:02:19
extraction_results.csv,row24_bipolar_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row24_bipolar_forceps.png,bipolar forceps,Maryland Bipolar Forceps,"{
  ""instruments"": [
    ""Maryland Bipolar Forceps""
  ]
}",2025-04-05 11:02:29
extraction_results.csv,row25_monopolar_curved_scissors.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row25_monopolar_curved_scissors.png,monopolar curved scissors,Maryland Bipolar Forceps,"{
  ""instruments"": [""Maryland Bipolar Forceps""]
}",2025-04-05 11:02:39
extraction_results.csv,row26_grasping_retractor.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row26_grasping_retractor.png,grasping retractor,"Maryland Bipolar Forceps, Monopolar Curved Scissors, Small Grasping Retractor","{
  ""instruments"": [
    ""Maryland Bipolar Forceps"",
    ""Monopolar Curved Scissors"",
    ""Small Grasping Retractor""
  ]
}",2025-04-05 11:02:48
extraction_results.csv,row27_grasping_retractor.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row27_grasping_retractor.png,grasping retractor,"Maryland Bipolar Forceps, Monopolar Curved Scissors, Small Grasping Retractor","{
  ""instruments"": [
    ""Maryland Bipolar Forceps"",
    ""Monopolar Curved Scissors"",
    ""Small Grasping Retractor""
  ]
}",2025-04-05 11:02:58
extraction_results.csv,row28_nancamera_in.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row28_nancamera_in.png,nan(camera in),"Mega Needle Driver, Mega SutureCut Needle Driver, Small Grasping Retractor","{
  ""instruments"": [
    ""Mega Needle Driver"",
    ""Mega SutureCut Needle Driver"",
    ""Small Grasping Retractor""
  ]
}",2025-04-05 11:03:08
extraction_results.csv,row29_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row29_needle_driver.png,needle driver,"Mega Needle Driver, Mega Suturecut Needle Driver, Small Grasping Retractor","{
  ""instruments"": [
    ""Mega Needle Driver"",
    ""Mega Suturecut Needle Driver"",
    ""Small Grasping Retractor""
  ]
}",2025-04-05 11:03:22
extraction_results.csv,row30_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row30_needle_driver.png,needle driver,"Mega Needle Driver, Mega SutureCut Needle Driver, Small Grasping Retractor","{
  ""instruments"": [
    ""Mega Needle Driver"",
    ""Mega SutureCut Needle Driver"",
    ""Small Grasping Retractor""
  ]
}",2025-04-05 11:04:17
extraction_results.csv,row31_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row31_needle_driver.png,needle driver,"Large Needle Driver, Cadiere Forceps","{
  ""instruments"": [
    ""Large Needle Driver"",
    ""Cadiere Forceps""
  ]
}",2025-04-05 11:04:26
extraction_results.csv,row32_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row32_needle_driver.png,needle driver,"Cadiere Forceps, Monopolar Curved Scissors","{
  ""instruments"": [
    ""Cadiere Forceps"",
    ""Monopolar Curved Scissors""
  ]
}",2025-04-05 11:04:35
extraction_results.csv,row33_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row33_needle_driver.png,needle driver,"Large Needle Driver, Monopolar Curved Scissors, Cadiere Forceps","{
  ""instruments"": [
    ""Large Needle Driver"",
    ""Monopolar Curved Scissors"",
    ""Cadiere Forceps""
  ]
}",2025-04-05 11:04:44
extraction_results.csv,row34_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row34_needle_driver.png,needle driver,,"{
  ""instruments"": []
}",2025-04-05 11:06:14
extraction_results.csv,row35_cadiere_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row35_cadiere_forceps.png,cadiere forceps,"Large Needle Driver, Monopolar Curved Scissors, Cadiere Forceps","{
  ""instruments"": [
    ""Large Needle Driver"",
    ""Monopolar Curved Scissors"",
    ""Cadiere Forceps""
  ]
}",2025-04-05 11:06:23
extraction_results.csv,row36_monopolar_curved_scissors.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row36_monopolar_curved_scissors.png,monopolar curved scissors,"Large Needle Driver, Large SutureCut Needle Driver, Cadiere Forceps","{
  ""instruments"": [
    ""Large Needle Driver"",
    ""Large SutureCut Needle Driver"",
    ""Cadiere Forceps""
  ]
}",2025-04-05 11:06:33
extraction_results.csv,row37_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row37_needle_driver.png,needle driver,"Large Needle Driver, Large SutureCut Needle Driver, Cadiere Forceps","{
  ""instruments"": [
    ""Large Needle Driver"",
    ""Large SutureCut Needle Driver"",
    ""Cadiere Forceps""
  ]
}",2025-04-05 11:06:42
extraction_results.csv,row38_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row38_needle_driver.png,needle driver,,"{
  ""instruments"": []
}",2025-04-05 11:06:52
extraction_results.csv,row39_nancamera_in.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row39_nancamera_in.png,nan(camera in),Error parsing JSON response,I'm unable to identify the tool from this image.,2025-04-05 11:07:01
extraction_results.csv,row40_bipolar_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row40_bipolar_forceps.png,bipolar forceps,"Maryland Bipolar Forceps, Cadier Forceps","{
  ""instruments"": [
    ""Maryland Bipolar Forceps"",
    ""Cadier Forceps""
  ]
}",2025-04-05 11:07:10
extraction_results.csv,row41_bipolar_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row41_bipolar_forceps.png,bipolar forceps,"Maryland Bipolar Forceps, Monopolar Curved Scissors, Cadiere Forceps","{
  ""instruments"": [
    ""Maryland Bipolar Forceps"",
    ""Monopolar Curved Scissors"",
    ""Cadiere Forceps""
  ]
}",2025-04-05 11:07:18
extraction_results.csv,row42_monopolar_curved_scissors.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row42_monopolar_curved_scissors.png,monopolar curved scissors,,"{
  ""instruments"": []
}",2025-04-05 11:07:27
extraction_results.csv,row43_cadiere_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row43_cadiere_forceps.png,cadiere forceps,"Maryland Bipolar Forceps, Monopolar Curved Scissors, Cadiere Forceps","{
  ""instruments"": [
    ""Maryland Bipolar Forceps"",
    ""Monopolar Curved Scissors"",
    ""Cadiere Forceps""
  ]
}",2025-04-05 11:07:39
extraction_results.csv,row44_nancamera_in.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row44_nancamera_in.png,nan(camera in),Maryland Bipolar Forceps,"{
  ""instruments"": [
    ""Maryland Bipolar Forceps""
  ]
}",2025-04-05 11:07:47
extraction_results.csv,row45_nancamera_in.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_003/row45_nancamera_in.png,nan(camera in),"Maryland Bipolar Forceps, Cadier Forceps","```json
{
  ""instruments"": [
    ""Maryland Bipolar Forceps"",
    ""Cadier Forceps""
  ]
}
```",2025-04-05 11:07:57
