model_name,hour,unique_count
CheXagent-8b,2025-03-02 21:00:00+00:00,277
gpt-4o,2025-03-02 21:00:00+00:00,636
CheXagent-8b,2025-03-02 22:00:00+00:00,434
gpt-4o,2025-03-02 22:00:00+00:00,406
CheXagent-8b,2025-03-02 23:00:00+00:00,518
gpt-4o,2025-03-02 23:00:00+00:00,162
CheXagent-8b,2025-03-03 00:00:00+00:00,144
gpt-4o,2025-03-03 00:00:00+00:00,573
CheXagent-8b,2025-03-03 01:00:00+00:00,408
gpt-4o,2025-03-03 01:00:00+00:00,620
gpt-4o,2025-03-03 02:00:00+00:00,311
CheXagent-8b,2025-03-03 04:00:00+00:00,53
Llama_3.2_11B,2025-03-03 04:00:00+00:00,22
llava-med-v1.5-mistral-7b,2025-03-03 04:00:00+00:00,104
CheXagent-8b,2025-03-03 05:00:00+00:00,13
Llama_3.2_11B,2025-03-03 05:00:00+00:00,7
llava-med-v1.5-mistral-7b,2025-03-03 05:00:00+00:00,16
