model_name,hour,unique_count
CheXagent-8b,2025-03-02 21:00:00+00:00,277
gpt-4o,2025-03-02 21:00:00+00:00,636
CheXagent-8b,2025-03-02 22:00:00+00:00,434
gpt-4o,2025-03-02 22:00:00+00:00,406
CheXagent-8b,2025-03-02 23:00:00+00:00,518
gpt-4o,2025-03-02 23:00:00+00:00,162
CheXagent-8b,2025-03-03 00:00:00+00:00,144
gpt-4o,2025-03-03 00:00:00+00:00,573
CheXagent-8b,2025-03-03 01:00:00+00:00,408
gpt-4o,2025-03-03 01:00:00+00:00,620
gpt-4o,2025-03-03 02:00:00+00:00,311
CheXagent-8b,2025-03-03 04:00:00+00:00,53
Llama_3.2_11B,2025-03-03 04:00:00+00:00,22
llava-med-v1.5-mistral-7b,2025-03-03 04:00:00+00:00,104
CheXagent-8b,2025-03-03 05:00:00+00:00,559
Llama_3.2_11B,2025-03-03 05:00:00+00:00,317
gpt-4o,2025-03-03 05:00:00+00:00,273
llava-med-v1.5-mistral-7b,2025-03-03 05:00:00+00:00,721
CheXagent-8b,2025-03-03 06:00:00+00:00,469
Llama_3.2_11B,2025-03-03 06:00:00+00:00,258
gpt-4o,2025-03-03 06:00:00+00:00,288
llava-med-v1.5-mistral-7b,2025-03-03 06:00:00+00:00,807
CheXagent-8b,2025-03-03 07:00:00+00:00,553
Llama_3.2_11B,2025-03-03 07:00:00+00:00,306
gpt-4o,2025-03-03 07:00:00+00:00,297
llava-med-v1.5-mistral-7b,2025-03-03 07:00:00+00:00,768
CheXagent-8b,2025-03-03 08:00:00+00:00,558
Llama_3.2_11B,2025-03-03 08:00:00+00:00,276
gemini-2.0-flash,2025-03-03 08:00:00+00:00,880
gpt-4o,2025-03-03 08:00:00+00:00,292
llava-med-v1.5-mistral-7b,2025-03-03 08:00:00+00:00,759
CheXagent-8b,2025-03-03 09:00:00+00:00,558
Llama_3.2_11B,2025-03-03 09:00:00+00:00,274
gemini-2.0-flash,2025-03-03 09:00:00+00:00,290
gpt-4o,2025-03-03 09:00:00+00:00,288
llava-med-v1.5-mistral-7b,2025-03-03 09:00:00+00:00,760
CheXagent-8b,2025-03-03 10:00:00+00:00,560
Llama_3.2_11B,2025-03-03 10:00:00+00:00,293
gpt-4o,2025-03-03 10:00:00+00:00,286
llava-med-v1.5-mistral-7b,2025-03-03 10:00:00+00:00,782
CheXagent-8b,2025-03-03 11:00:00+00:00,556
Llama_3.2_11B,2025-03-03 11:00:00+00:00,308
gpt-4o,2025-03-03 11:00:00+00:00,281
llava-med-v1.5-mistral-7b,2025-03-03 11:00:00+00:00,780
CheXagent-8b,2025-03-03 12:00:00+00:00,555
Llama_3.2_11B,2025-03-03 12:00:00+00:00,324
gpt-4o,2025-03-03 12:00:00+00:00,224
llava-med-v1.5-mistral-7b,2025-03-03 12:00:00+00:00,786
CheXagent-8b,2025-03-03 13:00:00+00:00,554
Llama_3.2_11B,2025-03-03 13:00:00+00:00,291
gpt-4o,2025-03-03 13:00:00+00:00,268
llava-med-v1.5-mistral-7b,2025-03-03 13:00:00+00:00,756
CheXagent-8b,2025-03-03 14:00:00+00:00,554
Llama_3.2_11B,2025-03-03 14:00:00+00:00,243
gpt-4o,2025-03-03 14:00:00+00:00,268
llava-med-v1.5-mistral-7b,2025-03-03 14:00:00+00:00,745
CheXagent-8b,2025-03-03 15:00:00+00:00,558
Llama_3.2_11B,2025-03-03 15:00:00+00:00,244
gpt-4o,2025-03-03 15:00:00+00:00,278
llava-med-v1.5-mistral-7b,2025-03-03 15:00:00+00:00,773
CheXagent-8b,2025-03-03 16:00:00+00:00,551
Llama_3.2_11B,2025-03-03 16:00:00+00:00,221
gpt-4o,2025-03-03 16:00:00+00:00,274
llava-med-v1.5-mistral-7b,2025-03-03 16:00:00+00:00,750
CheXagent-8b,2025-03-03 17:00:00+00:00,556
Llama_3.2_11B,2025-03-03 17:00:00+00:00,232
gpt-4o,2025-03-03 17:00:00+00:00,277
llava-med-v1.5-mistral-7b,2025-03-03 17:00:00+00:00,837
CheXagent-8b,2025-03-03 18:00:00+00:00,554
Llama_3.2_11B,2025-03-03 18:00:00+00:00,216
gpt-4o,2025-03-03 18:00:00+00:00,259
llava-med-v1.5-mistral-7b,2025-03-03 18:00:00+00:00,766
CheXagent-8b,2025-03-03 19:00:00+00:00,554
Llama_3.2_11B,2025-03-03 19:00:00+00:00,293
gpt-4o,2025-03-03 19:00:00+00:00,260
llava-med-v1.5-mistral-7b,2025-03-03 19:00:00+00:00,797
CheXagent-8b,2025-03-03 20:00:00+00:00,550
Llama_3.2_11B,2025-03-03 20:00:00+00:00,305
gpt-4o,2025-03-03 20:00:00+00:00,282
llava-med-v1.5-mistral-7b,2025-03-03 20:00:00+00:00,747
CheXagent-8b,2025-03-03 21:00:00+00:00,557
Llama_3.2_11B,2025-03-03 21:00:00+00:00,267
gpt-4o,2025-03-03 21:00:00+00:00,283
llava-med-v1.5-mistral-7b,2025-03-03 21:00:00+00:00,760
CheXagent-8b,2025-03-03 22:00:00+00:00,506
Llama_3.2_11B,2025-03-03 22:00:00+00:00,318
gpt-4o,2025-03-03 22:00:00+00:00,288
llava-med-v1.5-mistral-7b,2025-03-03 22:00:00+00:00,735
CheXagent-8b,2025-03-03 23:00:00+00:00,542
Llama_3.2_11B,2025-03-03 23:00:00+00:00,298
gpt-4o,2025-03-03 23:00:00+00:00,287
llava-med-v1.5-mistral-7b,2025-03-03 23:00:00+00:00,759
CheXagent-8b,2025-03-04 00:00:00+00:00,539
Llama_3.2_11B,2025-03-04 00:00:00+00:00,299
gpt-4o,2025-03-04 00:00:00+00:00,289
llava-med-v1.5-mistral-7b,2025-03-04 00:00:00+00:00,751
CheXagent-8b,2025-03-04 01:00:00+00:00,545
Llama_3.2_11B,2025-03-04 01:00:00+00:00,321
gpt-4o,2025-03-04 01:00:00+00:00,130
llava-med-v1.5-mistral-7b,2025-03-04 01:00:00+00:00,764
CheXagent-8b,2025-03-04 02:00:00+00:00,535
Llama_3.2_11B,2025-03-04 02:00:00+00:00,276
gpt-4o,2025-03-04 02:00:00+00:00,224
llava-med-v1.5-mistral-7b,2025-03-04 02:00:00+00:00,741
CheXagent-8b,2025-03-04 03:00:00+00:00,383
Llama_3.2_11B,2025-03-04 03:00:00+00:00,208
gpt-4o,2025-03-04 03:00:00+00:00,245
llava-med-v1.5-mistral-7b,2025-03-04 03:00:00+00:00,761
Llama_3.2_11B,2025-03-04 04:00:00+00:00,52
gpt-4o,2025-03-04 04:00:00+00:00,170
llava-med-v1.5-mistral-7b,2025-03-04 04:00:00+00:00,402
